Traditional	Simplified	Pinyin	English	Zhuyin	Level
窗戶	窗户	chuānghu	window, CL:個|个[ge4],扇[shan4]		4
窗臺	窗台	chuāngtái	windowsill; window ledge		4
窗子	窗子	chuāngzi	window		4
春季	春季	chūnjì	springtime		4
純	纯	chún	pure, simple, unmixed, genuine		4
純淨水	纯净水	chúnjìngshuǐ	purified water		4
詞彙	词汇	cíhuì	variant of 詞彙|词汇[ci2 hui4]; vocabulary, list of words (e.g. for language teaching purposes), word		4
此	此	cǐ	this; these		4
此外	此外	cǐwài	besides; in addition; moreover; furthermore		4
次	次	cì	next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time		4
刺	刺	cì	(onom.) whoosh; thorn, sting, thrust, to prick, to pierce, to stab, to assassinate, to murder		4
刺激	刺激	cìjī	to provoke; to irritate; to upset; to stimulate; to excite, irritant		4
從此	从此	cóngcǐ	from now on, since then, henceforth		4
粗	粗	cū	(of sth long) wide; thick, (of sth granular) coarse, (of a voice) gruff, (of sb's manner etc) rough; crude; careless; rude; variant of 粗[cu1]; remote; distant, variant of 粗[cu1]		4
粗心	粗心	cūxīn	careless, thoughtless		4
促進	促进	cùjìn	to promote (an idea or cause); to advance; boost		4
促使	促使	cùshǐ	to prompt; to induce; to spur		4
促銷	促销	cùxiāo	to promote sales		4
措施	措施	cuòshī	measure, step, CL:個|个[ge4]		4
打	打	dá	"(loanword) dozen, Taiwan pr. [da3]; a semantically light, transitive verb that is combined with various grammatical objects to form compound verbs and verb-object phrases with a diverse range of meanings (e.g. 打傘|打伞[da3 san3] ""to hold an umbrella"", 打電話|打电话[da3 dian4 hua4] ""to make a phone call"", 打針|打针[da3 zhen1] ""to get an injection"", 打手套[da3 shou3 tao4] ""to knit gloves"", 打氣|打气[da3 qi4] ""to inflate""), to hit; to strike, to fight, (coll.) from; since (as in 打那以後|打那以后[da3 na4 yi3 hou4] ""since then"")"		4
答案	答案	dá'àn	answer, solution, CL:個|个[ge4]		4
打敗	打败	dǎbài	to defeat, to overpower, to beat, to be defeated		4
打雷	打雷	dǎléi	to rumble with thunder, clap of thunder		4
打掃	打扫	dǎsǎo	to clean, to sweep		4
打折	打折	dǎzhé	to give a discount		4
打針	打针	dǎzhēn	to give or get an injection		4
大巴	大巴	dàbā	(coll.) large bus, coach, (abbr. for 大型巴士)		4
大多	大多	dàduō	for the most part, many, most, the greater part, mostly		4
大方	大方	dàfang	expert, scholar, mother earth, a type of green tea; generous, magnanimous, stylish, in good taste, easy-mannered, natural and relaxed		4
大哥	大哥	dàgē	eldest brother, big brother (polite address for a man of about the same age as oneself), gang leader; boss		4
大規模	大规模	dà guīmó	large scale, extensive, wide scale, broad scale		4
大會	大会	dàhuì	general assembly, general meeting, convention, CL:個|个[ge4],屆|届[jie4]		4
大姐	大姐	dàjiě	big sister, elder sister, older sister (also polite term of address for a girl or woman slightly older than the speaker)		4
大樓	大楼	dà lóu	building (a relatively large, multistory one), CL:幢[zhuang4],座[zuo4]		4
大陸	大陆	dàlù	mainland China (reference to the PRC); continent; mainland, CL:個|个[ge4],塊|块[kuai4]		4
大媽	大妈	dàmā	father's elder brother's wife, aunt (affectionate term for an elderly woman)		4
大型	大型	dàxíng	large, large-scale		4
大爺	大爷	dàye	arrogant idler, self-centered show-off; (coll.) father's older brother, uncle, term of respect for older man		4
大眾	大众	dàzhòng	Volkswagen (automobile manufacturer); the masses, the great bulk of the population, popular (of music, science etc)		4
代替	代替	dàitì	to replace; to take the place of		4
待遇	待遇	dàiyù	treatment, pay, salary, status, rank		4
袋	袋	dài	pouch, bag, sack, pocket		4
戴	戴	dài	surname Dai; to put on or wear (glasses, hat, gloves etc), to respect, to bear, to support		4
擔保	担保	dānbǎo	to guarantee, to vouch for		4
擔任	担任	dānrèn	to hold a governmental office or post, to assume office of, to take charge of, to serve as		4
擔心	担心	dānxīn	anxious, worried, uneasy, to worry, to be anxious		4
單	单	dān	surname Shan; used in 單于|单于[chan2 yu2]; bill, list, form, single, only, sole, odd number, CL:個|个[ge4]		4
單純	单纯	dānchún	simple, pure, unsophisticated, merely, purely		4
單調	单调	dāndiào	monotonous		4
單獨	单独	dāndú	alone, by oneself, on one's own		4
淡	淡	dàn	insipid, diluted, weak, mild, light in color, tasteless, indifferent, (variant of 氮[dan4]) nitrogen		4
導遊	导游	dǎoyóu	tour guide, guidebook, to conduct a tour		4
導致	导致	dǎozhì	to lead to; to create; to cause; to bring about		4
倒閉	倒闭	dǎobì	to go bankrupt, to close down		4
倒車	倒车	dǎochē	to change buses, trains etc; to reverse (a vehicle), to drive backwards		4
倒車	倒车	dàochē	to change buses, trains etc; to reverse (a vehicle), to drive backwards		4
得意	得意	déyì	proud of oneself, pleased with oneself, complacent		4
得	得	děi	to obtain, to get, to gain, to catch (a disease), proper, suitable, proud, contented, to allow, to permit, ready, finished; used in 得瑟[de4 se5]; structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc		4
燈光	灯光	dēngguāng	(stage) lighting, light		4
登	登	dēng	to scale (a height), to ascend, to mount, to publish or record, to enter (e.g. in a register), to press down with the foot, to step or tread on, to put on (shoes or trousers) (dialect), to be gathered and taken to the threshing ground (old)		4
登記	登记	dēngjì	to register (one's name)		4
登錄	登录	dēnglù	to register, to log in		4
登山	登山	dēngshān	to climb a mountain, climbing, mountaineering		4
的確	的确	díquè	really, indeed		4
敵人	敌人	dírén	enemy, CL:個|个[ge4]		4
底	底	dǐ	(equivalent to 的 as possessive particle); bottom; base, background; foundation, copy (of a manuscript or receipt etc) kept as a record, (suffix) end of a year or month, (math.) radix; base (abbr. for 底數|底数[di3 shu4])		4
地方	地方	dìfāng	region, regional (away from the central administration), local; area, place, space, room, territory, CL:處|处[chu4],個|个[ge4],塊|块[kuai4]		4
地面	地面	dìmiàn	floor, ground, surface		4
地位	地位	dìwèi	position, status, place, CL:個|个[ge4]		4
地下	地下	dìxià	underground, subterranean, covert		4
地址	地址	dìzhǐ	address, CL:個|个[ge4]		4
典型	典型	diǎnxíng	model, typical case, archetype, typical, representative		4
點名	点名	diǎnmíng	roll call, to mention sb by name, (to call or praise or criticize sb) by name		4
電燈	电灯	diàndēng	electric light, CL:盞|盏[zhan3]		4
電動車	电动车	diàndòngchē	electric vehicle (commonly refers to e-bikes, scooters or electric cars)		4
電梯	电梯	diàntī	elevator, escalator, CL:臺|台[tai2],部[bu4]		4
電源	电源	diànyuán	electric power source		4
頂	顶	dǐng	"apex, crown of the head, top, roof, most, to carry on the head, to push to the top, to go against, to replace, to substitute, to be subjected to (an aerial bombing, hailstorm etc), (slang) to ""bump"" a forum thread to raise its profile, classifier for headwear, hats, veils etc"		4
定	定	dìng	to fix; to set; to make definite, to subscribe to (a newspaper etc); to book (tickets etc); to order (goods etc), to congeal; to coagulate, (literary) definitely		4
冬季	冬季	dōngjì	winter		4
動畫片	动画片	dònghuàpiàn	animated film		4
動搖	动摇	dòngyáo	to sway, to waver, to rock, to rattle, to destabilize, to pose a challenge to		4
豆腐	豆腐	dòufu	tofu, bean curd		4
獨立	独立	dúlì	independent, independence, to stand alone		4
獨特	独特	dútè	unique; distinctive		4
獨自	独自	dúzì	alone		4
堵	堵	dǔ	to block up (a road, pipe etc), to stop up (a hole), (fig.) (of a person) choked up with anxiety or stress, wall (literary), (classifier for walls)		4
堵車	堵车	dǔchē	traffic jam, (of traffic) to get congested		4
肚子	肚子	dùzi	belly, abdomen, stomach, CL:個|个[ge4]		4
度過	度过	dùguò	to pass, to spend (time), to survive, to get through		4
鍛鍊	锻炼	duànliàn	to toughen, to temper, to engage in physical exercise, to work out, (fig.) to develop one's skills, to train oneself		4
對比	对比	duìbǐ	to contrast, contrast, ratio, CL:個|个[ge4]		4
對付	对付	duìfu	to handle; to deal with; to tackle, to get by with; to make do, (dialect) (usu. used in the negative) to get along with (sb)		4
對於	对于	duìyú	regarding; as far as (sth) is concerned; with regard to		4
多次	多次	duō cì	many times, repeatedly		4
多年	多年	duō nián	many years, for many years, longstanding		4
多樣	多样	duōyàng	diverse, diversity, manifold		4
多種	多种	duō zhǒng	many kinds of; multiple; diverse; multi-		4
噁心	恶心	ěxin	variant of 惡心|恶心[e3 xin1]; nausea, to feel sick, disgust, nauseating, to embarrass (deliberately); bad habit, vicious habit, vice		4
兒童	儿童	értóng	child		4
而	而	ér	and, as well as, and so, but (not), yet (not), (indicates causal relation), (indicates change of state), (indicates contrast)		4
而是	而是	ér shì	rather		4
耳機	耳机	ěrjī	headphones, earphones, telephone receiver		4
二手	二手	èrshǒu	indirectly acquired, second-hand (information, equipment etc), assistant		4
發揮	发挥	fāhuī	to display, to exhibit, to bring out implicit or innate qualities, to express (a thought or moral), to develop (an idea), to elaborate (on a theme)		4
發票	发票	fāpiào	invoice; receipt; bill, uniform invoice (abbr. for 統一發票|统一发票[tong3 yi1 fa1 piao4])		4
發燒	发烧	fāshāo	to have a high temperature (from illness); to have a fever, (fig.) to be fascinated with; to obsess over, (fig.) flourishing; thriving; popular		4
法	法	fǎ	variant of 法[fa3]; France, French, abbr. for 法國|法国[Fa3 guo2], Taiwan pr. [Fa4]; law, method, way, to emulate, (Buddhism) dharma, (abbr. for 法家[Fa3 jia1]) the Legalists, (physics) farad (abbr. for 法拉[fa3 la1])		4
法官	法官	fǎguān	judge (in court)		4
法律	法律	fǎlǜ	law, CL:條|条[tiao2], 套[tao4], 個|个[ge4]		4
法院	法院	fǎyuàn	court of law, court		4
翻	翻	fān	to turn over, to flip over, to overturn, to rummage through, to translate, to decode, to double, to climb over or into, to cross; variant of 翻[fan1]		4
翻譯	翻译	fānyì	to translate, to interpret, translator, interpreter, translation, interpretation, CL:個|个[ge4],位[wei4],名[ming2]		4
煩	烦	fán	to feel vexed, to bother, to trouble, superfluous and confusing, edgy		4
反	反	fǎn	contrary, in reverse, inside out or upside down, to reverse, to return, to oppose, opposite, against, anti-, to rebel, to use analogy, instead, abbr. for 反切[fan3 qie4] phonetic system		4
反而	反而	fǎn'ér	on the contrary; instead		4
反映	反映	fǎnyìng	to mirror, to reflect, mirror image, reflection, (fig.) to report, to make known, to render		4
方	方	fāng	surname Fang; square, power or involution (math.), upright, honest, fair and square, direction, side, party (to a contract, dispute etc), place, method, prescription (medicine), just when, only or just, classifier for square things, abbr. for square or cubic meter		4
方案	方案	fāng'àn	plan, program (for action etc), proposal, proposed bill, CL:個|个[ge4],套[tao4]		4
方針	方针	fāngzhēn	policy, guidelines, CL:個|个[ge4]		4
放鬆	放松	fàngsōng	to relax; to slacken; to loosen		4
非	非	fēi	abbr. for 非洲[Fei1 zhou1], Africa; to not be; not, wrong; incorrect, non-; un-; in-; de-, to reproach; to blame, (coll.) to insist on; simply must		4
肥	肥	féi	fat, fertile, loose-fitting or large, to fertilize, to become rich by illegal means, fertilizer, manure		4
分佈	分布	fēnbù	to scatter, to distribute, to be distributed (over an area etc), (statistical, geographic) distribution		4
分散	分散	fēnsàn	to scatter, to disperse, to distribute		4
分手	分手	fēnshǒu	to part company, to split up, to break up		4
分為	分为	fēnwéi	to divide sth into (parts); to subdivide		4
…分之…	…分之…	…fēn zhī…			4
紛紛	纷纷	fēnfēn	one after another, in succession, one by one, continuously, diverse, in profusion, numerous and confused, pell-mell		4
奮鬥	奋斗	fèndòu	to strive; to struggle		4
風格	风格	fēnggé	style		4
風景	风景	fēngjǐng	scenery; landscape		4
風俗	风俗	fēngsú	social custom, CL:個|个[ge4]		4
封閉	封闭	fēngbì	to close; to seal off, to close down (an illegal venue), closed (i.e. isolated from outside input)		4
否則	否则	fǒuzé	otherwise; if not; or (else)		4
夫婦	夫妇	fūfù	a (married) couple, husband and wife, CL:對|对[dui4]		4
夫妻	夫妻	fūqī	husband and wife; married couple		4
夫人	夫人	fūrén	lady, madam, Mrs., CL:位[wei4]		4
符號	符号	fúhào	symbol; mark; sign		4
符合	符合	fúhé	in accordance with; to agree with; to conform to; to meet (a requirement), (physics) coincidence		4
付出	付出	fùchū	to pay; to expend; to invest (energy or time)		4
負擔	负担	fùdān	to bear (an expense, a responsibility etc), burden		4
附近	附近	fùjìn	nearby; neighboring, (in the) vicinity (of); neighborhood		4
複製	复制	fùzhì	to duplicate, to make a copy of, to copy, to reproduce, to clone		4
改善	改善	gǎishàn	to make better; to improve, CL:個|个[ge4]		4
改正	改正	gǎizhèng	to correct, to amend, to put right, correction, CL:個|个[ge4]		4
蓋	盖	gài	surname Ge; lid, top, cover, canopy, to cover, to conceal, to build		4
概括	概括	gàikuò	to summarize; to generalize, briefly; in broad outline		4
感興趣	感兴趣	gǎn xìngqù	to be interested		4
高潮	高潮	gāocháo	high tide; high water, upsurge; peak of activity, climax (of a story, a competition etc), to have an orgasm		4
高價	高价	gāojià	high price		4
高尚	高尚	gāoshàng	noble, lofty, refined, exquisite		4
高鐵	高铁	gāotiě	high speed rail		4
格外	格外	géwài	especially; particularly; even more than usual, extra; additional		4
隔	隔	gé	to separate, to partition, to stand or lie between, at a distance from, after or at an interval of		4
隔開	隔开	gékāi	to separate		4
個別	个别	gèbié	individually; one by one, just one or two; exceptional; rare		4
個體	个体	gètǐ	individual		4
各個	各个	gègè	every, various, separately, one by one		4
根	根	gēn	root, basis, classifier for long slender objects, e.g. cigarettes, guitar strings, CL:條|条[tiao2], radical (chemistry)		4
根據	根据	gēnjù	according to, based on, basis, foundation, CL:個|个[ge4]		4
工程	工程	gōngchéng	engineering, an engineering project, project, undertaking, CL:個|个[ge4],項|项[xiang4]		4
公元	公元	gōngyuán	CE (Common Era), Christian Era, AD (Anno Domini)		4
供應	供应	gōngyìng	to supply, to provide, to offer		4
共	共	gòng	common, general, to share, together, total, altogether, abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party		4
構成	构成	gòuchéng	to constitute, to form, to compose, to make up, to configure (computing)		4
構造	构造	gòuzào	structure, composition, tectonic (geology), CL:個|个[ge4]		4
購買	购买	gòumǎi	to purchase; to buy		4
購物	购物	gòuwù	shopping		4
骨頭	骨头	gǔtou	bone, CL:根[gen1],塊|块[kuai4], moral character, bitterness, Taiwan pr. [gu2 tou5]		4
固定	固定	gùdìng	to fix, to fasten, to set rigidly in place, fixed, set, regular		4
瓜	瓜	guā	melon; gourd; squash, (slang) a piece of gossip		4
怪	怪	guài	bewildering, odd, strange, uncanny, devil, monster, to wonder at, to blame, quite, rather; variant of 怪[guai4]		4
關	关	guān	surname Guan; mountain pass, to close; to shut; to turn off, to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc), to concern; to involve		4
關閉	关闭	guānbì	to close; to shut (a window etc), (of a shop, school etc) to shut down		4
關於	关于	guānyú	pertaining to, concerning, with regard to, about, a matter of		4
官	官	guān	surname Guan; government official, governmental, official, public, organ of the body, CL:個|个[ge4]		4
官方	官方	guānfāng	government, official (approved or issued by an authority)		4
光臨	光临	guānglín	(formal) to honor with one's presence, to attend		4
光盤	光盘	guāngpán	compact disc (CD); DVD; CD-ROM, CL:片[pian4],張|张[zhang1]		4
逛	逛	guàng	to stroll, to visit		4
歸	归	guī	surname Gui; to return, to go back to, to give back to, (of a responsibility) to be taken care of by, to belong to, to gather together, (used between two identical verbs) despite, to marry (of a woman) (old), division on the abacus with a one-digit divisor		4
規律	规律	guīlǜ	rule (e.g. of science), law of behavior, regular pattern, rhythm, discipline		4
規模	规模	guīmó	scale; scope; extent		4
規則	规则	guīzé	rule; regulation, regular; orderly; fixed		4
果實	果实	guǒshí	fruit (produced by a plant), (fig.) fruits (of success etc), results, gains		4
過分	过分	guòfèn	excessive; undue, unduly; overly		4
海水	海水	hǎishuǐ	seawater		4
海鮮	海鲜	hǎixiān	seafood		4
含	含	hán	to keep in the mouth, to contain		4
含量	含量	hánliàng	content, quantity contained		4
含義	含义	hányì	meaning (implicit in a phrase), implied meaning, hidden meaning, hint, connotation		4
含有	含有	hányǒu	to contain, including		4
寒假	寒假	hánjià	winter vacation		4
寒冷	寒冷	hánlěng	cold (climate), frigid, very cold		4
行業	行业	hángyè	trade; profession; industry; business		4
航班	航班	hángbān	(scheduled) flight; (scheduled) sailing		4
航空	航空	hángkōng	aviation		4
毫米	毫米	háomǐ	millimeter		4
毫升	毫升	háoshēng	milliliter		4
好友	好友	hǎoyǒu	close friend, pal, (social networking website) friend, CL:個|个[ge4]		4
號碼	号码	hàomǎ	number, CL:堆[dui1],個|个[ge4]		4
好	好	hào	good, appropriate; proper, all right!, (before a verb) easy to, (before a verb) good to, (before an adjective for exclamatory effect) so, (verb complement indicating completion), (of two people) close; on intimate terms, (after a personal pronoun) hello; to be fond of; to have a tendency to; to be prone to		4
合同	合同	hétóng	contract; agreement, CL:份[fen4]		4
黑暗	黑暗	hēi'àn	dark, darkly, darkness		4
紅包	红包	hóngbāo	money wrapped in red as a gift, bonus payment, kickback, bribe		4
後頭	后头	hòutou	behind, the back, the rear, later, afterwards, (in) the future		4
厚	厚	hòu	thick, deep or profound, kind, generous, rich or strong in flavor, to favor, to stress		4
呼吸	呼吸	hūxī	to breathe		4
忽視	忽视	hūshì	to neglect; to overlook; to disregard; to ignore		4
戶	户	hù	a household, door, family		4
護士	护士	hùshi	nurse		4
花	花	huā	surname Hua; flower, blossom, CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4], fancy pattern, florid, to spend (money, time), (coll.) lecherous, lustful; old variant of 花[hua1]		4
划|劃	划	huá	to row, to paddle, profitable, worth (the effort), it pays (to do sth); to cut, to slash, to scratch (cut into the surface of sth), to strike (a match); to delimit, to transfer, to assign, to plan, to draw (a line), stroke of a Chinese character		4
劃	划	huà	to row, to paddle, profitable, worth (the effort), it pays (to do sth); to cut, to slash, to scratch (cut into the surface of sth), to strike (a match); to delimit, to transfer, to assign, to plan, to draw (a line), stroke of a Chinese character		4
懷念	怀念	huáiniàn	to cherish the memory of, to think of, to reminisce		4
懷疑	怀疑	huáiyí	to doubt (sth); to be skeptical of, to have one's doubts; to harbor suspicions; to suspect that		4
緩解	缓解	huǎnjiě	to bring relief, to alleviate (a crisis), to dull (a pain)		4
黃瓜	黄瓜	huángguā	cucumber, CL:條|条[tiao2]		4
黃金	黄金	huángjīn	gold, golden (opportunity), prime (time)		4
回復	回复	huífù	to recover; to revert; to return to (good health, normal condition etc), variant of 回覆[hui2 fu4]		4
匯	汇	huì	to remit, to converge (of rivers), to exchange; class, collection; variant of 匯|汇[hui4]		4
匯報|彙報	汇报	huìbào	to report, to give an account of, to collect information and report back; to report, to give an account of, report		4
匯率	汇率	huìlǜ	exchange rate		4
婚禮	婚礼	hūnlǐ	wedding ceremony, wedding, CL:場|场[chang3]		4
火	火	huǒ	surname Huo; fire, urgent, ammunition, fiery or flaming, internal heat (Chinese medicine), hot (popular), classifier for military units (old), Kangxi radical 86		4
夥	伙	huǒ	meals (abbr. for 伙食[huo3 shi2]), variant of 夥|伙[huo3]; companion, partner, group, classifier for groups of people, to combine, together		4
伙伴	伙伴	huǒbàn	partner, companion, comrade		4
或許	或许	huòxǔ	perhaps; maybe		4
貨	货	huò	goods, money, commodity, CL:個|个[ge4]		4
獲	获	huò	(literary) to catch; to capture, (literary) to get; to obtain; to win; (bound form) to reap; to harvest		4
獲得	获得	huòdé	to obtain; to receive; to get		4
獲獎	获奖	huòjiǎng	to win an award		4
獲取	获取	huòqǔ	to gain; to get; to acquire		4
幾乎	几乎	jīhū	almost; nearly; practically		4
機構	机构	jīgòu	mechanism, structure, organization, agency, institution, CL:所[suo3]		4
機遇	机遇	jīyù	opportunity; favorable turn of events; stroke of luck		4
積累	积累	jīlěi	to accumulate, accumulation, cumulative, cumulatively		4
激動	激动	jīdòng	to move emotionally, to stir up (emotions), to excite		4
激烈	激烈	jīliè	(of competition or fighting) intense, fierce, (of pain) acute, (of an expression of opinion) impassioned, vehement, (of a course of action) drastic, extreme		4
及格	及格	jígé	to pass an exam or a test, to meet a minimum standard		4
極	极	jí	extremely, pole (geography, physics), utmost, top		4
極其	极其	jíqí	extremely		4
即將	即将	jíjiāng	about to; on the point of; soon		4
急忙	急忙	jímáng	hastily		4
集合	集合	jíhé	to gather; to assemble, (math.) set		4
記載	记载	jìzǎi	to write down, to record, written account		4
紀律	纪律	jìlǜ	discipline		4
技巧	技巧	jìqiǎo	skill, technique		4
繫	系	jì	to connect, to relate to, to tie up, to bind, to be (literary); system, department, faculty; to tie, to fasten, to button up		4
季	季	jì	surname Ji; season, the last month of a season, fourth or youngest amongst brothers, classifier for seasonal crop yields		4
季度	季度	jìdù	quarter of a year, season (sports)		4
季節	季节	jìjié	time, season, period, CL:個|个[ge4]		4
既	既	jì	already, since, both... (and...)		4
既然	既然	jìrán	since; as; this being the case		4
寄	寄	jì	to entrust; to place in sb's care, (bound form) to depend on; to attach oneself to; to reside temporarily, (bound form) foster (as in 寄女[ji4 nu : 3] foster daughter), to send by post; to mail		4
加班	加班	jiābān	to work overtime		4
加入	加入	jiārù	to become a member, to join, to mix into, to participate in, to add in		4
加油站	加油站	jiāyóuzhàn	gas station		4
家務	家务	jiāwù	household duties, housework		4
假如	假如	jiǎrú	if		4
堅固	坚固	jiāngù	firm, firmly, hard, stable		4
檢測	检测	jiǎncè	to detect, to test, detection, sensing		4
減	减	jiǎn	to lower, to decrease, to reduce, to subtract, to diminish		4
減肥	减肥	jiǎnféi	to lose weight		4
減少	减少	jiǎnshǎo	to lessen; to decrease; to reduce; to lower		4
簡歷	简历	jiǎnlì	curriculum vitae (CV), résumé, biographical notes		4
健身	健身	jiànshēn	to exercise, to keep fit, to work out, physical exercise		4
漸漸	渐渐	jiànjiàn	gradually		4
江	江	jiāng	surname Jiang, (bound form) Yangtze River, (bound form) Jiangsu Province (abbr. for 江蘇|江苏[Jiang1 su1]); river, CL:條|条[tiao2],道[dao4]		4
講究	讲究	jiǎngjiu	to pay particular attention to, carefully selected for quality, tastefully chosen		4
講座	讲座	jiǎngzuò	course of lectures; lecture series, chair (academic position)		4
獎	奖	jiǎng	prize; award; bonus; reward, (bound form) to encourage; to commend; to praise, to award; to give as a reward		4
獎金	奖金	jiǎngjīn	premium, award money, bonus		4
獎學金	奖学金	jiǎngxuéjīn	scholarship, CL:筆|笔[bi3]		4
降	降	jiàng	to drop, to fall, to come down, to descend; to surrender; to capitulate, to subdue; to conquer; to tame		4
降低	降低	jiàngdī	to reduce; to lower; to bring down		4
降價	降价	jiàngjià	to cut the price, to drive down the price, to get cheaper		4
降落	降落	jiàngluò	to descend, to land		4
降溫	降温	jiàngwēn	to become cooler, to lower the temperature, cooling, (of interest, activity etc) to decline		4
交換	交换	jiāohuàn	to exchange, to swap, to switch (telecom), commutative (math), to commute		4
交際	交际	jiāojì	communication, social intercourse		4
教授	教授	jiàoshòu	professor, to instruct, to lecture on, CL:個|个[ge4],位[wei4]		4
教訓	教训	jiàoxùn	to provide guidance; to lecture sb; to upbraid, a talking-to; a bitter lesson, CL:番[fan1],頓|顿[dun4]		4
階段	阶段	jiēduàn	stage, section, phase, period, CL:個|个[ge4]		4
街道	街道	jiēdào	street, CL:條|条[tiao2], subdistrict, residential district		4
節省	节省	jiéshěng	saving, to save, to use sparingly, to cut down on		4
結	结	jié	(of a plant) to produce (fruit or seeds), Taiwan pr. [jie2]; knot, sturdy, bond, to tie, to bind, to check out (of a hotel)		4
結構	结构	jiégòu	structure, composition, makeup, architecture, CL:座[zuo4],個|个[ge4]		4
結論	结论	jiélùn	conclusion, verdict, CL:個|个[ge4], to conclude, to reach a verdict		4
姐妹	姐妹	jiěmèi	sisters, siblings, sister (school, city etc)		4
解釋	解释	jiěshì	explanation, to explain, to interpret, to resolve, CL:個|个[ge4]		4
儘快	尽快	jǐnkuài	as quickly as possible; as soon as possible; see 儘快|尽快[jin3 kuai4]		4
緊密	紧密	jǐnmì	inseparably close		4
盡力	尽力	jìnlì	to strive one's hardest; to spare no effort		4
進口	进口	jìnkǒu	to import, imported, entrance, inlet (for the intake of air, water etc)		4
近代	近代	jìndài	the not-very-distant past, modern times, excluding recent decades, (in the context of Chinese history) the period from the Opium Wars until the May 4th Movement (mid-19th century to 1919), capitalist times (pre-1949)		4
禁止	禁止	jìnzhǐ	to prohibit, to forbid, to ban		4
經典	经典	jīngdiǎn	the classics, scriptures, classical, classic (example, case etc), typical		4
精力	精力	jīnglì	energy		4
竟然	竟然	jìngrán	unexpectedly, to one's surprise, in spite of everything, in that crazy way, actually, to go as far as to		4
鏡頭	镜头	jìngtóu	camera lens, camera shot (in a movie etc), scene		4
鏡子	镜子	jìngzi	mirror, CL:面[mian4],個|个[ge4]		4
究竟	究竟	jiūjìng	to go to the bottom of a matter, after all, when all is said and done, (in an interrogative sentence) finally, outcome, result		4
酒吧	酒吧	jiǔbā	bar (place to buy drinks), CL:家[jia1]		4
居民	居民	jūmín	resident; inhabitant		4
居住	居住	jūzhù	to reside, to dwell, to live in a place, resident in		4
局	局	jú	narrow; office, situation, classifier for games: match, set, round etc; cramped; narrow		4
巨大	巨大	jùdà	huge; immense; enormous; gigantic		4
具備	具备	jùbèi	to possess, to have, equipped with, able to fulfill (conditions or requirements)		4
距離	距离	jùlí	distance, CL:個|个[ge4], to be apart from		4
聚	聚	jù	to assemble; to gather (transitive or intransitive), (chemistry) poly-		4
聚會	聚会	jùhuì	party, gathering, to meet, to get together		4
卷|捲	卷	juǎn	to roll up, roll, classifier for small rolled things (wad of paper money, movie reel etc); scroll, book, volume, chapter, examination paper, classifier for books, paintings: volume, scroll; to roll up, to sweep up; to carry along, a roll, classifier for rolls, spools etc		4
卷	卷	juàn	to roll up, roll, classifier for small rolled things (wad of paper money, movie reel etc); scroll, book, volume, chapter, examination paper, classifier for books, paintings: volume, scroll; to roll up, to sweep up; to carry along, a roll, classifier for rolls, spools etc		4
角色	角色	juésè	role; part (in a play or movie etc), also pr. [jiao3se4]		4
開花	开花	kāihuā	to bloom; to blossom; to flower, (fig.) to burst; to split open, (fig.) to burst with joy, (fig.) to spring up everywhere; to flourish		4
開水	开水	kāishuǐ	boiled water, boiling water		4
看不起	看不起	kànbuqǐ	to look down upon, to despise		4
看來	看来	kànlái	apparently, it seems that		4
看望	看望	kànwàng	to pay a visit to; to see (sb)		4
考察	考察	kǎochá	to inspect, to observe and study, on-the-spot investigation		4
考慮	考虑	kǎolǜ	to think over, to consider, consideration		4
棵	棵	kē	classifier for trees, cabbages, plants etc		4
可見	可见	kějiàn	it can clearly be seen (that this is the case), it is (thus) clear, clear, visible		4
空間	空间	kōngjiān	space; room, (fig.) scope; leeway, (astronomy) outer space, (physics, math.) space		4
空	空	kòng	empty, air, sky, in vain; to empty, vacant, unoccupied, space, leisure, free time		4
口袋	口袋	kǒudai	pocket, bag; sack		4
口語	口语	kǒuyǔ	colloquial speech, spoken language, vernacular language, slander, gossip, CL:門|门[men2]		4
苦	苦	kǔ	bitter, hardship, pain, to suffer, to bring suffering to, painstakingly		4
會計	会计	kuàijì	accountant, accountancy, accounting		4
快遞	快递	kuàidì	express delivery		4
寬	宽	kuān	surname Kuan; wide, broad, loose, relaxed, lenient		4
寬廣	宽广	kuānguǎng	wide, broad, extensive, vast		4
礦泉水	矿泉水	kuàngquánshuǐ	mineral water, CL:瓶[ping2],杯[bei1]		4
擴大	扩大	kuòdà	to expand, to enlarge, to broaden one's scope		4
擴展	扩展	kuòzhǎn	to extend, to expand, extension, expansion		4
括號	括号	kuòhào	parentheses; brackets		4
垃圾	垃圾	lājī	trash, refuse, garbage, (coll.) of poor quality, Taiwan pr. [le4 se4]		4
拉開	拉开	lākāi	to pull open, to pull apart, to space out, to increase		4
辣	辣	là	old variant of 辣[la4]; hot (spicy), pungent, (of chili pepper, raw onions etc) to sting, to burn		4
來不及	来不及	láibují	there's not enough time (to do sth), it's too late (to do sth)		4
