Traditional	Simplified	Pinyin	English	Zhuyin
女朋友	女朋友	nǚpéngyou	jane, girl, girl friend, lady friend, girlfriend, amie	ㄋㄩˇ ㄆㄥˊ ㄧㄡ˙
旁邊	旁边	pángbiān	by the side of, side, adjacency, near by	ㄆㄤˊ ㄅㄧㄢ
跑	跑	pǎo	travel, race, be away, escape, course, run errands, skirr, double, walk, be away/off, run away, be off, run about doing sth., run, drive, paw the earth, run about doing ..., ride, leg	ㄆㄠˇ
女人	女人	nǚren	jade, crumpet, female, female person, Gill, bitch, chick, fair, squaw, womenfolk, adult female, doll, momma, wench, skirt, womankind, girl, jill, wife, broad, petticoat, sister, woman, bimbo, bird, jane, she, hen, hairpin, dame, women	ㄋㄩˇ ㄖㄣ˙
朋友	朋友	péngyou	amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company	ㄆㄥˊ ㄧㄡ˙
票	票	piào	ticket, ballot, note	ㄆㄧㄠˋ
七	七	qī	det.: seven	ㄑㄧ
起床	起床	qǐ chuáng	uprise, get up from bed, arise, get out of bed, turn out, rise, deck, get_up, awake, get up	ㄑㄧˇ ㄔㄨㄤˊ
起來	起来	qǐ  lai	[aspect]	ㄑㄧˇ ㄌㄞ˙
起	起	qǐ	[aspect]	ㄑㄧˇ
汽車	汽车	qìchē	automotive vehicle, machine, wheels, motorcar, motor vehicle, car, automotive, auto, wheel, autocar, motor, automobile, hoot, mobile, bus	ㄑㄧˋ ㄔㄜ
前	前	qián	front	ㄑㄧㄢˊ
前邊	前边	qiánbian	front, the front side, in front of	ㄑㄧㄢˊ ㄅㄧㄢ˙
錢	钱	qián	copper coin, cash, money, fund, sum	ㄑㄧㄢˊ
錢包	钱包	qiánbāo	purse, wallet	ㄑㄧㄢˊ ㄅㄠ
請	请	qǐng	request, ask (a favor), engage, hire (teacher/etc.), Please...	ㄑㄧㄥˇ
前天	前天	qiántiān	the day before yesterday	ㄑㄧㄢˊ ㄊㄧㄢ
請假	请假	qǐng jià	vacate, ask for leave	ㄑㄧㄥˇ ㄐㄧㄚˋ
請問	请问	qǐngwèn	Excuse me, may I ask...?	ㄑㄧㄥˇ ㄨㄣˋ
請進	请进	qǐngjìn	'please come in'	ㄑㄧㄥˇ ㄐㄧㄣˋ
請坐	请坐	qǐng zuò	Sitting	ㄑㄧㄥˇ ㄗㄨㄛˋ
球	球	qiú	ball	ㄑㄧㄡˊ
去年	去年	qùnián	last year	ㄑㄩˋ ㄋㄧㄢˊ
熱	热	rè	hot	ㄖㄜˋ
人	人	rén	person, people	ㄖㄣˊ
認識	认识	rènshi	know, recognize	ㄖㄣˋ ㄕ˙
認真	认真	rènzhēn	serious, earnest, take for real	ㄖㄣˋ ㄓㄣ
去	去	qù	to go, to leave, in order to	ㄑㄩˋ
日	日	rì	m.[standard]	ㄖˋ
日期	日期	rìqī	calendar, when, date	ㄖˋ ㄑㄧ
肉	肉	ròu	pulp, chilli, cabobs, meat, lobscouse, paella, meaty, fleshy, flesh, marmite	ㄖㄡˋ
山	山	shān	Shan, jebel, pike, mountain, whitethorn, hump, anything resembling a mountain, gable, kop, chimney, hill, Surname, mount	ㄕㄢ
商場	商场	shāngchǎng	department store, bazar, line of business, field of operation, grocery store, emporium, bazaar, grocery, mall, commercial circle, field, market	ㄕㄤ ㄔㄤˇ
上	上	shàng	on, above	ㄕㄤˋ
三	三	sān	det.: three	ㄙㄢ
商店	商店	shāngdiàn	concern, hospital, business, store, shoppe, shop	ㄕㄤ ㄉㄧㄢˋ
上班	上班	shàng bān	start work, go to work, be on duty	ㄕㄤˋ ㄅㄢ
上車	上车	shàngchē	to get on or into (a bus, train, car etc)	ㄕㄤˋ ㄔㄜ
上課	上课	shàng kè	attend class, go to class;give lesson/lecture	ㄕㄤˋ ㄎㄜˋ
上網	上网	shàng wǎng	to go online, to connect to the Internet, (of a document etc) to be uploaded to the Internet, (tennis, volleyball etc) to move in close to the net	ㄕㄤˋ ㄨㄤˇ
上邊	上边	shàngbian	the top, above, overhead, upwards, the top margin, above-mentioned, those higher up	ㄕㄤˋ ㄅㄧㄢ˙
上學	上学	shàng xué	attend school, be at school	ㄕㄤˋ ㄒㄩㄝˊ
上午	上午	shàngwǔ	morning, CL:個|个[ge4]	ㄕㄤˋ ㄨˇ
少	少	shǎo	lack, be deficient, lose, be missing	ㄕㄠˇ
上次	上次	shàngcì	last time	ㄕㄤˋ ㄘˋ
身上	身上	shēnshang	on the body, at hand, among	ㄕㄣ ㄕㄤ˙
誰	谁	shéi	who, someone, anyone	ㄕㄟˊ
身體	身体	shēntǐ	soma, system, physical structure, body, health, carcase, corpus, frame, person, somatic, organic structure, personage	ㄕㄣ ㄊㄧˇ
生病	生病	shēng bìng	come down, ail, fall ill, traik, sick, sicken	ㄕㄥ ㄅㄧㄥˋ
生氣	生气	shēng qì	get angry, be angry	ㄕㄥ ㄑㄧˋ
十	十	shí	det.: ten	ㄕˊ
時候	时候	shíhou	day, moment, (a point in) time, (duration of) time, time	ㄕˊ ㄏㄡ˙
時間	时间	shíjiān	moment, day, clock time, fourth_dimension, relativity, hour, duration, time, when, while, temporal, economy	ㄕˊ ㄐㄧㄢ
事	事	shì	responsibility, trouble, event, thing, worry, accident, case, involvement, work, affair, job, concern, business, toast, matter	ㄕˋ
試	试	shì	offer, attempt, essay, flesh, try, seek, assay, test	ㄕˋ
生日	生日	shēngri	birthday	ㄕㄥ ㄖ˙
是不是	是不是	shìbùshì	is or isn't, yes or no, whether or not	ㄕˋ ㄅㄨˋ ㄕˋ
是	是	shì	is, are, am, yes, to be, variant of 是[shi4], (used in given names)	ㄕˋ
手機	手机	shǒujī	cell phone, mobile phone, CL:部[bu4],支[zhi1]	ㄕㄡˇ ㄐㄧ
手	手	shǒu	hand	ㄕㄡˇ
書包	书包	shūbāo	bag, book bag, satchel, schoolbag	ㄕㄨ ㄅㄠ
書	书	shū	volume, document, style of calligraphy, book, script, letter	ㄕㄨ
書店	书店	shūdiàn	bookstore	ㄕㄨ ㄉㄧㄢˋ
樹	树	shù	wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito	ㄕㄨˋ
水	水	shuǐ	water, H2O, liquid, bubble, a general term for rivers, lakes, seas, etc., Shiu, waters, aqueous, Aquarius, river, Surname, blister, drink, eau, aqua	ㄕㄨㄟˇ
水果	水果	shuǐguǒ	fruit	ㄕㄨㄟˇ ㄍㄨㄛˇ
睡	睡	shuì	sleep	ㄕㄨㄟˋ
說	说	shuō	speak, talk, explain, scold	ㄕㄨㄛ
說話	说话	shuō huà	philosophize, thrum, talk, peach, babble out, speech, articulate, chat, speak, babble, gossip, blab out, sing, address, tattle, blab, mouth, say	ㄕㄨㄛ ㄏㄨㄚˋ
睡覺	睡觉	shuì jiào	turn_in, log Z's, doss, slumber, catch some Z's, go to bed, sleep, doss down, crash, go_to_sleep, hit_the_sack, kip	ㄕㄨㄟˋ ㄐㄧㄠˋ
送	送	sòng	accompaniment, escort, see sb. off, see sb. off/out, to dispatch, see ... off, accompany, to deliver, send, direct, serve, guide, give as a present, deliver, see sb. out, see, lead, see ... out, conduct, give, to send, carry, delivery, carriage, take, hospitalize	ㄙㄨㄥˋ
四	四	sì	det.: four	ㄙˋ
嵗	岁	suì	year (for crops), m.[standard], , year of age, year (of age), year, annum, year for crops	ㄙㄨㄟˋ
他們	他们	tāmen	they	ㄊㄚ ㄇㄣ˙
什麼	什么	shénme	anything, what	ㄕㄣˊ ㄇㄜ˙
她	她	tā	she, her, she (neologism for {1ta1}[2]), )	ㄊㄚ
她們	她们	tāmen	they (female)	ㄊㄚ ㄇㄣ˙
天	天	tiān	m.[standard]	ㄊㄧㄢ
他	他	tā	he, she, it, they (referring to inanimate things in object position)	ㄊㄚ
太	太	tài	excessively, too, extremely, very	ㄊㄞˋ
天氣	天气	tiānqì	sky, elements, weather condition, atmospheric condition, weather	ㄊㄧㄢ ㄑㄧˋ
聽到	听到	tīngdào	hear	ㄊㄧㄥ ㄉㄠˋ
聽見	听见	tīng jian	hear	ㄊㄧㄥ ㄐㄧㄢ˙
聽寫	听写	tīngxiě	dictate, dictation, CL:次[ci4]	ㄊㄧㄥ ㄒㄧㄝˇ
聽	听	tīng	hear, list, hearken, obey, obedience, listen, heed, administer, let, allow, hark	ㄊㄧㄥ
圖書館	图书馆	túshūguǎn	library	ㄊㄨˊ ㄕㄨ ㄍㄨㄢˇ
外	外	wài	outside, in addition, foreign, external	ㄨㄞˋ
外邊	外边	wàibian	outside, outer surface, abroad, place other than one's home	ㄨㄞˋ ㄅㄧㄢ˙
同學	同学	tóngxué	class fellow, fellow student, condisciple, classmate, schoolmate, schoolfellow, form of address used in speaking to a student	ㄊㄨㄥˊ ㄒㄩㄝˊ
外國	外国	wàiguó	foreign, foreign country, outland, outremer	ㄨㄞˋ ㄍㄨㄛˊ
玩兒	玩儿	wánr	to play, to have fun, to hang out	ㄨㄢˊ ㄦ˙
晚	晚	wǎn	far on in time, late	ㄨㄢˇ
晚飯	晚饭	wǎnfàn	evening meal, dinner, supper, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]	ㄨㄢˇ ㄈㄢˋ
晚上	晚上	wǎnshang	evening, night, CL:個|个[ge4], in the evening	ㄨㄢˇ ㄕㄤ˙
網上	网上	wǎngshàng	online	ㄨㄤˇ ㄕㄤˋ
網友	网友	wǎngyǒu	online friend, Internet user	ㄨㄤˇ ㄧㄡˇ
外語	外语	wàiyǔ	foreign language	ㄨㄞˋ ㄩˇ
忘記	忘记	wàngjì	misremember, block, blank out, neglect, overlook, draw a blank, leave_out, disremember, fail, forget	ㄨㄤˋ ㄐㄧˋ
忘	忘	wàng	forget, overlook, neglect	ㄨㄤˋ
問	问	wèn	ask, examine, question, interrogate	ㄨㄣˋ
我們	我们	wǒmen	we	ㄨㄛˇ ㄇㄣ˙
我	我	wǒ	I, me, ego, self	ㄨㄛˇ
五	五	wǔ	det.: five	ㄨˇ
午飯	午饭	wǔfàn	lunch, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]	ㄨˇ ㄈㄢˋ
西	西	xī	W, Spain, west, occident, due west, western	ㄒㄧ
西邊	西边	xībian	west, west side, western part, to the west of	ㄒㄧ ㄅㄧㄢ˙
洗	洗	xǐ	wash, bathe, sack, develop (film), shuffle (cards/etc.)	ㄒㄧˇ
洗手間	洗手间	xǐshǒujiān	toilet, lavatory, washroom	ㄒㄧˇ ㄕㄡˇ ㄐㄧㄢ
喜歡	喜欢	xǐhuan	like, love, be fond of, be happy/elated	ㄒㄧˇ ㄏㄨㄢ˙
下	下	xià	under (condition/fact etc.)	ㄒㄧㄚˋ
下班	下班	xià bān	get_off	ㄒㄧㄚˋ ㄅㄢ
下邊	下边	xiàbian	under, the underside, below	ㄒㄧㄚˋ ㄅㄧㄢ˙
下車	下车	xiàchē	get off/out of vehicle	ㄒㄧㄚˋ ㄔㄜ
下次	下次	xiàcì	next time	ㄒㄧㄚˋ ㄘˋ
下課	下课	xià kè	finish class, get out of class	ㄒㄧㄚˋ ㄎㄜˋ
下午	下午	xiàwǔ	afternoon, CL:個|个[ge4], p.m.	ㄒㄧㄚˋ ㄨˇ
下雨	下雨	xiàyǔ	rain	ㄒㄧㄚˋ ㄩˇ
先	先	xiān	earlier, in advance, before	ㄒㄧㄢ
先生	先生	xiānsheng	doctor of Chinese medicine, Don, mulla, Ms., sir., teacher, gentleman, gospodin, Signor, signor, fortune-teller, babu, baboo, Herr, Mister, bey, mister, bwana, husband, siree, buckra, sirrah, senor, guv, sahib, Mr., rabbi, don, signore, Dan, sir, m'sieur, effendi, Tuan, baas, Monsieur, lording, monsieur, doctor, Mr, milord, Mynheer, signior, esquire, bookkeeper, Senor, rabboni, Senhor, sieur, sen	ㄒㄧㄢ ㄕㄥ˙
想	想	xiǎng	think, suppose, reckon, consider, want to, would like to, feel like (doing sth.)	ㄒㄧㄤˇ
現在	现在	xiànzài	now, at present, at the moment, modern, current, nowadays	ㄒㄧㄢˋ ㄗㄞˋ
小	小	xiǎo	small, little, petty, minor;young	ㄒㄧㄠˇ
小孩兒	小孩儿	xiǎoháir	child, erhua variant of 小孩[xiao3 hai2]	ㄒㄧㄠˇ ㄏㄞˊ ㄦ˙
小姐	小姐	xiǎojiě	Signorina, Senorita, senorita, signorina, young_lady, damosel, Dona, mum, young lady, damoiselle, missy, tootsy, demoiselle, damsel, Miss, Fraulein, miss, sheila, sister, toots, senhorita, damozel, Ladyship, ladyship, Mademoiselle, mademoiselle	ㄒㄧㄠˇ ㄐㄧㄝˇ
小時	小时	xiǎoshí	hour	ㄒㄧㄠˇ ㄕˊ
小朋友	小朋友	xiǎopéngyǒu	child (adult address to child), little boy, children, little boy/girl, girl, little girl, little boy or girl, child	ㄒㄧㄠˇ ㄆㄥˊ ㄧㄡˇ
小學	小学	xiǎoxué	primary school, elementary school	ㄒㄧㄠˇ ㄒㄩㄝˊ
小學生	小学生	xiǎo xuésheng	(primary) pupil, schoolboy, schoolgirl	ㄒㄧㄠˇ ㄒㄩㄝˊ ㄕㄥ˙
笑	笑	xiào	smile, laugh	ㄒㄧㄠˋ
寫	写	xiě	description, bewrite, direct, describe, pencil, draw, paint, inscribe, write, depiction, write_out, throw_off, depict, address, author, screeve, word, compose	ㄒㄧㄝˇ
謝謝	谢谢	xièxie	thank	ㄒㄧㄝˋ ㄒㄧㄝ˙
新	新	xīn	new, fresh, up-to-date	ㄒㄧㄣ
新年	新年	xīnnián	New Year, CL:個|个[ge4]	ㄒㄧㄣ ㄋㄧㄢˊ
星期	星期	xīngqī	Sunday, week	ㄒㄧㄥ ㄑㄧ
星期日	星期日	Xīngqīrì	Sunday, CL:個|个[ge4]	ㄒㄧㄥ ㄑㄧ ㄖˋ
星期天	星期天	xīngqītiān	Sunday, CL:個|个[ge4]	ㄒㄧㄥ ㄑㄧ ㄊㄧㄢ
行	行	xíng	go, travel, prevail, circulate, be current	ㄒㄧㄥˊ
休息	休息	xiūxi	repose, have, lie dormant, respire, take time off, have a rest, take a rest, take off, relax, take_time_off, have/take a rest, rest	ㄒㄧㄡ ㄒㄧ˙
學生	学生	xuésheng	academic, pupil, pup, tutee, follower, scholar, schoolchild, schoolboy, alumnus, disciple, learner, scholastic, student	ㄒㄩㄝˊ ㄕㄥ˙
學	学	xué	study, learn, imitate, mimic	ㄒㄩㄝˊ
學習	学习	xuéxí	study, learn, emulate	ㄒㄩㄝˊ ㄒㄧˊ
學校	学校	xuéxiào	seminary, schoolhouse, educational institution, school, institution	ㄒㄩㄝˊ ㄒㄧㄠˋ
學院	学院	xuéyuàn	seminary, college, school, hall, institute, academy, faculty	ㄒㄩㄝˊ ㄩㄢˋ
要	要	yào	want, need, must, should	ㄧㄠˋ
爺爺	爷爷	yéye	grandad, Grandpa, granddad, grandpa, (paternal) grandfather, gramps, granddaddy, grandfather	ㄧㄝˊ ㄧㄝ˙
頁	页	yè	page, leaf, m.[general], ,sheet of paper, sheet, piece, piece of paper, folio	ㄧㄝˋ
衣服	衣服	yīfu	clothes, wearing apparel, toggery, gear, tog, wear, bib-and-tucker, drapery, thing, dress, duds, vestment, wardrobe, clout, apparel, clothing, dud, wrapping, vesture, clobber, habit, robe, togs, livery, habilimentation, array, hull, garb, attire, attirement, stitch, rig, garment, raiment, wearable, dressing	ㄧ ㄈㄨ˙
也	也	yě	also, too, as well, either, even	ㄧㄝˇ
醫生	医生	yīshēng	Galen, MD, physician, Dr., medic, doc, hakeem, medico, Aesculapius, medical man, surgeon, leech, doctor	ㄧ ㄕㄥ
醫院	医院	yīyuàn	spital, hospital, infirmary, hospice	ㄧ ㄩㄢˋ
一	一	yī	det.: one	ㄧ
一會兒	一会儿	yīhuìr	a moment, a while, in a moment, now...now..., also pr. [yi1 hui3 r5]	ㄧ ㄏㄨㄟˋ ㄦ˙
一塊兒	一块儿	yīkuàir	together	ㄧ ㄎㄨㄞˋ ㄦ˙
一下兒	一下儿	yīxiàr	(used after a verb) give it a go, to do (sth for a bit to give it a try), one time, once, in a while, all of a sudden, all at once, erhua variant of 一下[yi1 xia4]	ㄧ ㄒㄧㄚˋ ㄦ˙
一半	一半	yībàn	det.: one half, in part, half	ㄧ ㄅㄢˋ
一邊	一边	yībiān	at the same time, simultaneously;on the one/other hand	ㄧ ㄅㄧㄢ
一點兒	一点儿	yīdiǎnr	det.: a little bit	ㄧ ㄉㄧㄢˇ ㄦ˙
一起	一起	yīqǐ	in_chorus, together, in all, in the same place, holus-bolus, altogether, in company	ㄧ ㄑㄧˇ
一些	一些	yīxiē	det.: some, a few, a little	ㄧ ㄒㄧㄝ
一樣	一样	yīyàng	same, equal, similar	ㄧ ㄧㄤˋ
有的	有的	yǒude	det : some	ㄧㄡˇ ㄉㄜ˙
有	有	yǒu	have, possess	ㄧㄡˇ
有名	有名	yǒu míng	well-known, famous	ㄧㄡˇ ㄇㄧㄥˊ
用	用	yòng	with	ㄩㄥˋ
有時候	有时候	yǒushíhou	from time to time, on_occasion, occasionally, somewhile, otherwhile, now and again, sometimes, now and then, at times, on occasion, whiles, once in a while	ㄧㄡˇ ㄕˊ ㄏㄡ˙
有些	有些	yǒuxiē	kind_of, rather, somewhat	ㄧㄡˇ ㄒㄧㄝ
有用	有用	yǒuyòng	belong, profit, count, useful, avail, powerful	ㄧㄡˇ ㄩㄥˋ
右	右	yòu	right side as side of precedence, right side, west, winger, right, the right side, the Right, the right	ㄧㄡˋ
右邊	右边	yòubian	right side, right, to the right	ㄧㄡˋ ㄅㄧㄢ˙
雨	雨	yǔ	rain	ㄩˇ
元	元	yuán	m.[standard]	ㄩㄢˊ
遠	远	yuǎn	far, distant (lit./fig.)	ㄩㄢˇ
月	月	yuè	moon	ㄩㄝˋ
再	再	zài	again, once more, further(more), in a higher degree, and then, not (do sth.) before	ㄗㄞˋ
再見	再见	zàijiàn	good-bye, see you again	ㄗㄞˋ ㄐㄧㄢˋ
在	在	zài	in, at, on, etc.	ㄗㄞˋ
在家	在家	zàijiā	At home	ㄗㄞˋ ㄐㄧㄚ
早	早	zǎo	early, long ago, in advance, beforehand, prematurely	ㄗㄠˇ
早飯	早饭	zǎofàn	breakfast, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]	ㄗㄠˇ ㄈㄢˋ
早上	早上	zǎoshang	early morning, CL:個|个[ge4]	ㄗㄠˇ ㄕㄤ˙
怎麼	怎么	zěnme	how	ㄗㄣˇ ㄇㄜ˙
站	站	zhàn	to stand	ㄓㄢˋ
找	找	zhǎo	look for, seek, call on, approach	ㄓㄠˇ
找到	找到	zhǎodào	light upon, find, discover, run_down, founded, regain, strike, come upon, come across, run down, trace, turn_up, happen upon, get, chance on, chance upon	ㄓㄠˇ ㄉㄠˋ
這邊	这边	zhèbiān	this side, here	ㄓㄜˋ ㄅㄧㄢ
這	这	zhè	now, this, det.: this, it	ㄓㄜˋ
這裡	这里	zhèlǐ	this place, there, here	ㄓㄜˋ ㄌㄧˇ
這兒	这儿	zhèr	now, here	ㄓㄜˋ ㄦ˙
這些	这些	zhèxiē	det.: these	ㄓㄜˋ ㄒㄧㄝ
著	着	zhe	[aspect]	ㄓㄜ˙
真	真	zhēn	really, truly, indeed, clearly	ㄓㄣ
真的	真的	zhēn de	really, truly, indeed	ㄓㄣ ㄉㄜ˙
正	正	zhèng	precisely, punctually	ㄓㄥˋ
正在	正在	zhèngzài	course of, be, be in process	ㄓㄥˋ ㄗㄞˋ
知道	知道	zhīdao	tell, have, ken, understand, infer, wis, learn, cognize, gather, know, be aware of, wise up, savvy, mind, realize	ㄓ ㄉㄠ˙
知識	知识	zhīshi	lear, know-how, understanding, ken, instruction, science, sophistication, consciousness, light, awareness, cognizance, knowledge, lore, mastery, know, cognition, acquaintanceship, mind, intellect, knowingness, equipment	ㄓ ㄕ˙
中國	中国	Zhōngguó	Cathay, China, china	ㄓㄨㄥ ㄍㄨㄛˊ
中	中	zhōng	center, middle, interior	ㄓㄨㄥ
中間	中间	zhōngjiān	center, middle	ㄓㄨㄥ ㄐㄧㄢ
中文	中文	Zhōngwén	Chinese, Ch. (written) language, Ch. language, Sinitic	ㄓㄨㄥ ㄨㄣˊ
中午	中午	zhōngwǔ	noon, midday, CL:個|个[ge4]	ㄓㄨㄥ ㄨˇ
中學	中学	zhōngxué	middle_school, grammar_school, secondary school, Ch. learning, middle school, high_school, grammar school	ㄓㄨㄥ ㄒㄩㄝˊ
中學生	中学生	zhōngxuéshēng	middle-school student, high school student	ㄓㄨㄥ ㄒㄩㄝˊ ㄕㄥ
重	重	zhòng	heavy, weighty, important, considerable in amount/value	ㄓㄨㄥˋ
重要	重要	zhòngyào	important, significant, major	ㄓㄨㄥˋ ㄧㄠˋ
住	住	zhù	inhabit, cease, stay, visit, shack, dwell, stop, people, live, reside, populate, dig	ㄓㄨˋ
準備	准备	zhǔnbèi	prepare, get ready	ㄓㄨㄣˇ ㄅㄟˋ
桌子	桌子	zhuōzi	mahogany, table, desk	ㄓㄨㄛ ㄗ˙
字	字	zì	graphic symbol, writing, pronunciation (of a word), form of a written character, receipt, printing type, script, name taken at the age of 20, courtesy name, wordage, character, grapheme, contract, scripts, symbolic representation, style of handwriting, word	ㄗˋ
子	子	zi	son, child, seed, egg, small thing, 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat, Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], ancient Chinese compass point: 0° (north), (noun suffix)	ㄗ˙
走	走	zǒu	scram, travel, foot, go away, evaporate, ankle, waltz, step, bugger off, etc., go through, leave, leak, run, buzz off, leg, pad, fork, visit, go, escape, lose flavor, work, call on, strike, sashay, trace, pursue, gang, lose shape/etc., get_along, come_along, walk, hoof it, lose flavor/shape/etc., leg it, let out, shape, drive, cover, take, get, hoof, move	ㄗㄡˇ
最	最	zuì	most, to the highest degree, much, superlatively	ㄗㄨㄟˋ
走路	走路	zǒu lù	go away, stroam, go on foot, walk	ㄗㄡˇ ㄌㄨˋ
最好	最好	zuìhǎo	had better, it would be best	ㄗㄨㄟˋ ㄏㄠˇ
最後	最后	zuìhòu	final, last, finally, ultimate	ㄗㄨㄟˋ ㄏㄡˋ
昨天	昨天	zuótiān	yesterday	ㄗㄨㄛˊ ㄊㄧㄢ
左邊	左边	zuǒbian	left, the left side, to the left of	ㄗㄨㄛˇ ㄅㄧㄢ˙
左	左	zuǒ	left side, east, the Left	ㄗㄨㄛˇ
坐	坐	zuò	sit, take seat	ㄗㄨㄛˋ
坐下	坐下	zuòxià	subside, sit, sit down, sink, sit_down	ㄗㄨㄛˋ ㄒㄧㄚˋ
做	做	zuò	make, do	ㄗㄨㄛˋ
